DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
03-Sep-2025,EQ,"545.90","549.25","541.25","544.60","542.80","543.50","543.93","672.00","433.30","22,20,814","1,20,79,59,681.15","39,023"
02-Sep-2025,EQ,"525.00","547.75","523.65","523.65","545.60","544.60","542.34","672.00","433.30","89,73,936","4,86,69,40,025.10","1,17,554"
01-Sep-2025,EQ,"521.55","524.55","520.05","521.10","522.40","523.65","522.62","672.00","433.30","43,27,053","2,26,14,18,578.50","31,093"
29-Aug-2025,EQ,"515.45","528.55","509.70","513.85","521.55","521.10","519.73","672.00","433.30","37,45,766","1,94,67,95,378.45","60,598"
28-Aug-2025,EQ,"526.55","526.55","512.25","522.40","515.00","513.85","517.53","672.00","433.30","20,68,611","1,07,05,76,570.05","40,986"
26-Aug-2025,EQ,"518.60","526.80","517.10","518.60","521.60","522.40","522.92","672.00","433.30","30,45,617","1,59,26,18,307.85","41,227"
25-Aug-2025,EQ,"515.90","520.45","513.45","515.95","517.10","518.60","518.23","672.00","433.30","12,04,983","62,44,53,126.80","29,856"
22-Aug-2025,EQ,"516.00","519.85","514.55","515.70","516.50","515.95","516.75","672.00","433.30","15,96,318","82,48,99,394.30","26,587"
21-Aug-2025,EQ,"535.95","536.45","514.75","535.00","516.95","515.70","519.24","672.00","433.30","60,41,694","3,13,70,84,936.80","42,180"
20-Aug-2025,EQ,"522.00","536.40","521.10","522.05","534.45","535.00","527.77","672.00","433.30","1,23,45,218","6,51,54,86,212.55","85,113"
19-Aug-2025,EQ,"519.85","522.75","514.00","519.10","521.55","522.05","519.77","672.00","433.30","6,45,927","33,57,35,521.95","18,774"
18-Aug-2025,EQ,"513.90","529.80","512.00","500.90","520.00","519.10","523.93","672.00","433.30","48,10,046","2,52,01,11,009.95","53,684"
